用例编号,所属产品,所属模块,用例标题,前置条件,步骤,预期,结果,由谁创建,创建日期,修改日期
10439,WordPress(#13),内容发布模块(#257),验证“编辑文章”界面中“添加区块”的“小工具”功能,"1.已经成功登录，并进入仪表盘界面
2.点击左侧菜单栏中“文章”下拉框中的“写文章”按键，进入“编辑文章”界面
3.点击“添加文字或输入/添加内容”前的“添加区块”按键（加号按键）
4.打开“小工具”下拉框","1. 点击“小工具”下拉框的“短代码”按键
2. 点击“小工具”下拉框的“Archives”按键
3. 点击“小工具”下拉框的“分类目录”按键
4. 点击“小工具”下拉框的“Latest Comments”按键
5. 点击“小工具”下拉框的“最新文章”按键
","1. 出现短代码区域，区域内有短代码文本框（初始文字：在这里写短代码...）
2. 出现不可编辑的档案区域（文字为：2018年十一月）（文字前有个“?”加重号）
3. 出现分类目录的链接（链接前有个“?”加重号）
4. 出现最新的评论（包括评论的头像、用户名、评论时间、评论内容）（不可编辑）
5. 出现最新的文章链接（链接前有个“?”加重号）
",,韦士杰,2018/12/2,0000-00-00
10438,WordPress(#13),内容发布模块(#257), 验证“编辑文章”界面中“添加区块”的“布局元素”功能,"1.已经成功登录，并进入仪表盘界面
2.点击左侧菜单栏中“文章”下拉框中的“写文章”按键，进入“编辑文章”界面
3.点击“添加文字或输入/添加内容”前的“添加区块”按键（加号按键）
4.打开“布局元素”下拉框","1. 点击“布局元素”下拉框的“按钮”按键
2. 点击“布局元素”下拉框的“栏目”按键
3. 点击“布局元素”下拉框的“Media&Text”按键
3.1. 点击“上传”按键
3.2. 点击“媒体库”按键
4. 点击“布局元素”下拉框的“More”按键
5. 点击“布局元素”下拉框的“分页符”按键
6. 点击“布局元素”下拉框的“分隔符”按键
7. 点击“布局元素”下拉框的“隔板”按键
","1. 出现“添加文字...”按钮（可编辑链接）
2. 出现两个“添加文字或输入/添加内容”文本框
3. 出现一个“Media area”上传区域，一个 “Content...”文本框和一个“添加文字或输入/添加内容”文本框
3.1. 进入电脑本地我的文档，选择想要上传的图像
3.2. 从媒体库中选择想要上传的图像
4. 出现虚线分界线（中间初始内容为：阅读更多(可编辑））
5. 出现虚线分页符（中间初始内容为：分页符（不可编辑））（分界线较短）
6. 出现实线分隔符（无文字）
7. 出现隔板区域（鼠标未点击时为空白；鼠标点击时是灰色区域）
",,韦士杰,2018/12/2,0000-00-00
10437,WordPress(#13),杨天莹(#224),能否批量管理插件,进入wordpresss后台页面,"1. 点击左侧“插件“链接
2. 勾选第一个和第二个插件
3. 选择下方批量操作的倒三角，并选择启用
4. 点击旁边“应用按钮”
","1. 出现插件的详细情况
2. 勾选成功
3. 勾选成功
4. 设置成功
",通过,杨天莹,2018/12/2,0000-00-00
10436,WordPress(#13),杨天莹(#224),能否启用插件,进入wordpresss后台页面,"1. 点击左侧“插件“链接
2. 启用第一个插件
","1. 出现插件的详细情况
2. 启用成功
",通过,杨天莹,2018/12/2,0000-00-00
10435,WordPress(#13),杨天莹(#224),能否删除插件,进入wordpresss后台页面,"1. 点击左侧“插件“链接
2. 删除第一个插件
","1. 出现插件的详细情况
2. 删除成功
",通过,杨天莹,2018/12/2,0000-00-00
10434,WordPress(#13),杨天莹(#224),能否查看已安装插件列表,进入wordpresss后台页面,"1. 点击左侧“插件“链接
","1. 出现已安装的插件列表
",通过,杨天莹,2018/12/2,2018/12/5
10433,WordPress(#13),杨天莹(#224),能否对站点进行小工具设置,进入wordpresss后台页面,"1. 点击左侧“外观“链接
2. 点击下方“小工具”链接
3. 点击日历
4. 选择页脚部分
5. 点击“添加小工具”
","1. 出现设置界面
2. 出现小工具界面
3. 出现安装和预览按钮
4. 选择成功
5. 设置成功，右侧页脚部分出现“日历”
",通过,杨天莹,2018/12/2,2018/12/5
10432,WordPress(#13),杨天莹(#224),能否对站点进行外观设置,进入wordpresss后台页面,"1. 点击左侧“外观“链接
2. 点击添加
3. 鼠标滑到第三个主题上
4. 点击安装按钮
5. 点击“启用”
","1. 出现主题设置界面
2. 出现各种特色主题
3. 出现安装和预览按钮
4. 安装按钮变成启用
5. 启用成功
",通过,杨天莹,2018/12/2,0000-00-00
10431,WordPress(#13),杨天莹(#224),能否对站点进行媒体设置,进入wordpresss后台页面,"1. 点击左侧“Settings“链接
2. 点击下方的Settings“下方的媒体链接
3. 缩略图大小设置宽100，高160
4. 点击保存更改按钮
","1. 	出现“常规选项”界面
2. 出现“常规选项”界面
3. 设置成功
4. 保存成功
",通过,杨天莹,2018/12/2,2018/12/5
10430,WordPress(#13),杨天莹(#224),能否对站点进行讨论设置,进入wordpresss后台页面,"1. 点击左侧“Settings“链接
2. 点击下方的Settings“下方的讨论链接
3. 默认文章设置勾选前三个选项
4. 点击保存更改按钮
","1. 	出现“常规选项”界面
2. 出现讨论设置界面
3. 勾选成功
4. 保存成功
",通过,杨天莹,2018/12/2,2018/12/5
10429,WordPress(#13),杨天莹(#224),能否对站点进行阅读设置,进入wordpresss后台页面,"1. 点击左侧“Settings“链接
2. 点击下方的Settings“下方的阅读链接
3. 设置博客页面至多显示13篇文章
4. 点击保存更改按钮
","1. 出现“常规选项”界面
2. 出现“阅读设置”界面
3. 设置成功
4. 保存成功
",通过,杨天莹,2018/12/2,2018/12/5
10428,WordPress(#13),杨天莹(#224),能否对站点进行撰写设置,进入wordpresss后台页面,"1. 点击左侧“Settings“链接
2. 点击下方的Settings“下方的撰写链接
3. 默认文章形式选择“日志
4. 点击保存更改按钮
","1. 出现“常规设置”界面
2. 出现“撰写设置”界面
3. 选择成功
4. 返回提示信息：设置已保存。
",通过,杨天莹,2018/12/2,2018/12/11
10427,WordPress(#13),杨天莹(#224),能否对站点进行常规设置,进入wordpresss后台页面,"1. 点击左侧“Settings“按钮
2. 站点标题改为“MyWork”
3. 点击“保存更改”
","1. 	出现“常规选项”界面
2. 修改成功
3. 保存成功
",通过,杨天莹,2018/12/2,2018/12/5
10426,WordPress(#13),杨天莹(#224),能否导出文章,进入wordpresss后台页面,"1. 点击左侧“工具“按钮
2. 点击导出
3. 点击下载导出的文件按钮
4. 点击保存文件
5. 点击确定
","1. 进入“工具”界面
2. 进入导出界面
3. 跳出弹窗
4. 点击成功
5. 成功导出
",通过,杨天莹,2018/12/2,2018/12/5
10425,WordPress(#13),杨天莹(#224),能否导入工具,进入wordpresss后台页面,"1. 点击左侧“工具“按钮
2. 点击导入
3. 点击Blogger下方的“运行导入器”
4. 点击“浏览”并选择本机文件上传
5. 点击下方按钮“上传文件并导入”
","1. 进入“工具”界面
2. 进入“导入”界面
3. 跳转到上传文件界面
4. 上传成功
5. 导入成功
",通过,杨天莹,2018/12/2,2018/12/5
10424,WordPress(#13),杨天莹(#224),能否导入工具,进入wordpresss后台页面,"1. 点击左侧“工具“按钮
2. 点击导入
3. 点击Blogger工具下方的“现在安装”
","1. 进入“工具”界面
2. 进入“导入”界面
3. 安装成功
",通过,杨天莹,2018/12/2,2018/12/5
10423,WordPress(#13),用户管理模块(#243),能否编辑我的个人资料,进入wordpresss后台页面,"1. 点击左侧“用户”按钮
2. 点击我的个人资料
3. 昵称填“珍妮”
4. 点击更新个人资料
","1. 点击成功
2. 进入我的个人资料界面
3. 填写成功
4. 更新成功
",通过,杨天莹,2018/12/2,0000-00-00
10422,WordPress(#13),用户管理模块(#243),能否查看管理员，作者，投稿者，订阅者,进入wordpresss后台页面,"1. 左侧用户超链接
2. 点击顶部管理员
3. 点击顶部作者
4. 点击顶部投稿者
5. 点击顶部订阅者
","1. 出现用户信息
2. 出现管理员信息列表
3. 出现作者信息列表
4. 出现投稿者信息列表
5. 出现订阅者信息列表
",通过,杨天莹,2018/12/2,2018/12/5
10420,WordPress(#13),用户管理模块(#243),能否更改用户角色,进入wordpresss后台页面,"1. 勾选第一个用户
2. 点击底部的“将角色变更为“倒三角
3. 选择投稿者
4. 点击更改
","1. 勾选成功
2. 点击成功
3. 选择成功
4. 角色更改成功
",通过,杨天莹,2018/12/2,0000-00-00
10419,WordPress(#13),用户管理模块(#243),能否编辑用户信息,进入wordpresss后台页面,"1. 鼠标滑到第一个用户上
2. 点击编辑
3. 名字填写“小明”
4. 昵称填写“明明”
5. 点击最底部的“更新用户”按钮
","1. 出现“编辑”，“删除”，“查看”
2. 出现编辑界面
3. 填写成功
4. 填写成功
5. 编辑成功
",通过,杨天莹,2018/12/2,0000-00-00
10416,WordPress(#13),用户管理模块(#243),邮箱格式不正确能否添加用户,进入wordpresss后台页面,"1. 点击左侧菜单栏“用户”
2. 点击顶部“添加用户”按钮
3. 用户名abc，邮箱为1123
4. 点击“添加用户”
","1. 出现用户相关信息
2. 出现添加用户相关信息
3. 添加成功
4. 提示错误：邮箱格式不正确
",通过,杨天莹,2018/12/2,2018/12/5
10415,WordPress(#13),用户管理模块(#243),邮箱为空能否添加用户,进入wordpresss后台页面,"1. 点击左侧菜单栏“用户”
2. 点击顶部“添加用户”按钮
3. 只添加用户名abc
4. 点击“添加用户”
","1. 出现用户相关信息
2. 出现添加用户相关信息
3. 添加成功
4. 提示错误：邮箱为空
",通过,杨天莹,2018/12/2,0000-00-00
10414,WordPress(#13),用户管理模块(#243),是否能检验用户名过长,进入wordpresss后台页面,"1. 点击左侧菜单栏“用户”
2. 点击顶部“添加用户”按钮
3. 添加用户名“aaaaaaaaaaaaaaaaaaaaa”邮箱“123@qq.com”
4. 点击“添加用户”
","1. 出现用户相关信息
2. 出现添加用户相关信息
3. 添加成功
4. 提示错误：用户名过长，应在15位以内
",失败,杨天莹,2018/12/2,0000-00-00
10413,WordPress(#13),用户管理模块(#243),用户名为特殊字符能否添加用户,进入wordpresss后台页面,"1. 点击左侧菜单栏“用户”
2. 点击顶部“添加用户”按钮
3. 添加用户名“！！”邮箱“123@qq.com”
4. 点击“添加用户”
","1. 出现用户相关信息
2. 出现添加用户相关信息
3. 添加成功
4. 提示错误：用户名为非法字符，请输入合法字符
",通过,杨天莹,2018/12/2,0000-00-00
10412,WordPress(#13),用户管理模块(#243),用户名为空能否添加用户,进入wordpresss后台页面,"1. 点击左侧菜单栏“用户”
2. 点击顶部“添加用户”按钮
3. 只添加邮箱“123@qq.com”
4. 点击“添加用户”
","1. 出现用户相关信息
2. 出现添加用户相关信息
3. 添加成功
4. 提示错误：用户名为空
",通过,杨天莹,2018/12/2,0000-00-00
10411,WordPress(#13),用户管理模块(#243),用户名为汉字能否添加用户,进入wordpresss后台页面,"1. 点击左侧菜单栏“用户”
2. 点击顶部“添加用户”按钮
3. 分别添加“红红”，“123@qq.com”,““小红““，“杨”，“红红的站点”
4. 点击显示密码，更改为“12345678”
5. 角色选择订阅者
6. 点击“添加用户”
","1. 出现用户相关信息
2. 出现添加用户相关信息
3. 添加成功
4. 更改成功
5. 成功选择
6. 提示用户名包含无效字符，应输入英文字母
",通过,杨天莹,2018/12/2,0000-00-00
10409,WordPress(#13),文章内容模块(#242),能否预览更改,进入wordpresss首页,"1. 点击“近期文章”中的“水浒传读后感”
2. 点击“编辑”
3. 对文章内容进行更改
4. 点击右上角预览更改
","1. 出现水浒传相关内容
2. 出现“编辑”页面
3. 更改成功
4. 跳转到首页面
",通过,杨天莹,2018/12/2,0000-00-00
10408,WordPress(#13),文章内容模块(#242),能否取消特色图片,进入wordpresss首页,"1. 点击“近期文章”中的“水浒传读后感”
2. 点击“编辑”
3. 点击右侧“取消特色图片”
","1. 出现水浒传相关内容
2. 出现“编辑”页面
3. 取消成功
",通过,杨天莹,2018/12/2,0000-00-00
10407,WordPress(#13),文章内容模块(#242),能否对文章添加特色图片,进入wordpresss首页,"1. 点击“近期文章”中的“水浒传读后感”
2. 点击“编辑”
3. 点击右侧“设置特色图片”
4. 点击选择文件按钮
5. 从本机上传图片
6. 点击右侧设置特色图片
","1. 出现水浒传相关内容
2. 出现“编辑”页面
3. 出现上传图片界面
4. 出现从本机选择文件的 界面
5. 上传成功
6. 设置成功
",失败,杨天莹,2018/12/2,0000-00-00
10406,WordPress(#13),文章内容模块(#242),能否对文章添加标签,进入wordpresss首页,"1. 点击“近期文章”中的“水浒传读后感”
2. 点击“编辑”
3. 点击右侧标签框输入“名著”
4. 点击右侧“添加”按钮
","1. 出现水浒传相关内容
2. 出现“编辑”页面
3. 输入成功
4. 名著标签添加成功
",通过,杨天莹,2018/12/2,2018/12/5
10405,WordPress(#13),文章内容模块(#242),能否对文章进行分类的编辑,进入wordpresss首页,"1. 点击“近期文章”中的“水浒传读后感”
2. 点击“编辑”
3. 点击右侧“添加新分类目录”链接
4. 输入“书籍”
5. 点击下方“添加新分类目录”按钮
","1. 出现水浒传相关内容
2. 出现“编辑”页面
3. 下方出现框框
4. 输入成功
5. 新添加的目录被勾选上对勾
",通过,杨天莹,2018/12/2,0000-00-00
